Description,Account,Amount,DID,AID
7-ELEVEN OREM UT 884621  09/25,Gas,7.6,5,516
7-ELEVEN OREM UT 921092  12/21,Gas,2.13,5,516
7-ELEVEN SOUTH JORDAN UT 433994  08/01,Gas,13.11,5,516
7-ELEVEN WEST JORDAN UT 047622  07/11,Gas,10.63,5,516
8778684049PRIMEFORSKO 877-868-40 49 CA        02/16,Advertising,92.99,6,513
8883041449FOREVERGARC 888-304-14 49 MN        01/13,Meals and Entertainment,5.99,7,539
9105 Dominos Pizza 734-930-3030 UT           02/10,Meals and Entertainment,13,108,539
9105 Dominos Pizza 734-930-3030 UT           03/14,Meals and Entertainment,13,108,539
9105 Dominos Pizza OREM UT 01/30,Meals and Entertainment,12.97,108,539
A Caring Vet Lindon UT 456600  10/01,Albus,201.71,8,514
A EAGLE OUTFTR00006593 888-23245 35 KS        01/04,Clothing,15.81,9,525
A EAGLE OUTFTR00006593 888-23245 35 KS        11/08,Clothing,123.86,9,525
ABC TEES INC OREM UT 07/20,Clothing,13,10,525
ADY*Spotify P021AA83 https://www .s NY        04/09,Dues & Subscriptions,5.33,337,529
AE OUTF ONLINE00029538 785-22979 00 KS        11/21,Clothing,28.44,12,525
AEROFLOW ONLINE 888-345-1780 NC 11/14,Medical Costs,29.99,13,569
AI ONO CAFE LIH LIHUE HI 09/30,Meals and Entertainment,11.45,14,539
AIRBNB * HM5HRWJRW3 415-800-5959 CA          04/15,Travel,146.76,15,558
AIRBNB * HM95TYRTNE 415-800-5959 CA          02/05,Travel,65.59,15,558
AIRBNB * HMJ5D8JNC4 415-800-5959 CA          03/21,Travel,80.84,15,558
AIRBNB * HMJP5EAYHB 415-800-5959 CA          03/20,Travel,34.57,15,558
AIRBNB * HMN9SD3YXW 415-800-5959 CA          04/23,Travel,416,15,558
AIRBNB * HMZ5MNDQ4R 415-800-5959 CA          03/29,Travel,100.81,15,558
ALO YOGA 323-727-2005 CA 11/23,Clothing,63,16,525
Al's Sporting Goods (O OREM UT 461803  12/24,Personal Expenses,81.56,17,572
AMAZON MKTPLACE PMTS AMAZON MKTP LA WA        02/16,Eye Lash,82.5,18,546
AMAZON MKTPLACE PMTS AMAZON MKTP LA WA        02/20,Eye Lash,14.7,18,546
AMAZON MKTPLACE PMTS AMAZON MKTP LA WA        03/13,Eye Lash,26.99,18,546
AMAZON MKTPLACE PMTS AMAZON MKTP LA WA        03/13,Eye Lash,47.15,18,546
AMAZON MKTPLACE PMTS AMAZON MKTP LA WA        03/21,Eye Lash,32.99,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        01/07,office expense,17.99,18,540
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        01/07,Supplies,6.99,18,553
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        01/17,Supplies,20.89,18,553
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        01/28,Eye Lash,3.59,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        02/20,Supplies,22.95,18,553
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        02/21,Eye Lash,89.83,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        02/21,Supplies,28.94,18,553
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        02/21,Supplies,32.88,18,553
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        02/22,Supplies,8.16,18,553
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        03/05,Eye Lash,22.95,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        03/13,Eye Lash,24.95,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        03/21,Eye Lash,123.55,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        04/18,Supplies,22.95,18,553
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        05/14,Eye Lash,108.08,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        05/17,Eye Lash,33.9,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        05/27,Eye Lash,66,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        05/28,Eye Lash,59.29,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        05/30,Eye Lash,199.98,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        07/08,Eye Lash,287.5,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        07/29,Eye Lash,58,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        08/07,Eye Lash,17.59,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        09/11,Eye Lash,9.99,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        09/25,Eye Lash,38.59,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        11/02,Eye Lash,44.85,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        11/02,Eye Lash,57.82,18,546
AMAZON MKTPLACE PMTS AMZN.COM/BI LL WA        12/16,Eye Lash,15.99,18,546
Amazon Video On Dema AMZN.COM/bi ll WA        10/01,Meals and Entertainment,4.26,19,539
Amazon Video On Dema AMZN.COM/bi ll WA        10/15,Meals and Entertainment,4.26,19,539
Amazon Video On Dema AMZN.COM/bi ll WA        10/17,Meals and Entertainment,4.26,19,539
Amazon Video On Dema AMZN.COM/bi ll WA        10/28,Meals and Entertainment,6.4,19,539
Amazon Video On Dema AMZN.COM/bi ll WA        12/03,Meals and Entertainment,4.26,19,539
Amazon Video On Dema AMZN.COM/bi ll WA        12/10,Meals and Entertainment,4.26,19,539
Amazon Video On Dema AMZN.COM/bi ll WA        12/10,Meals and Entertainment,13.88,19,539
Amazon Video On Dema AMZN.COM/bi ll WA        12/23,Meals and Entertainment,4.26,19,539
Amazon.com AMZN.COM/BILL WA 02/18,Eye Lash,21.06,20,546
Amazon.com AMZN.COM/BILL WA 06/23,Eye Lash,25.81,20,546
Amazon.com AMZN.COM/BILL WA 08/14,Eye Lash,13.88,20,546
Amazon.com AMZN.COM/BILL WA 10/16,Eye Lash,14.59,20,546
Amazon.com AMZN.COM/BILL WA 12/16,Eye Lash,12.53,20,546
Amazon.com*BQ8106LC3 Amzn.com/bi ll WA        01/29,Personal,16.44,20,541
Amazon.com*M80WO0YG0 Amzn.com/bi ll WA        11/18,Supplies,29.91,20,553
Amazon.com*MA2N803Y2 Amzn.com/bi ll WA        07/23,Supplies,18.08,20,553
Amazon.com*MH5LV7GY2 Amzn.com/bi ll WA        07/08,Supplies,53.61,20,553
AmazonPrime Membersh amzn.com/pr me WA        04/25,Eye Lash,49,20,546
AmazonPrime Membersh amzn.com/pr me WA        04/26,Supplies,52.36,20,553
AMERICAN AIR00121951827 FORT WOR TH TX        06/19,Travel,493.93,21,558
AMERICAN AIR00121951827 FORT WOR TH TX        06/19,Travel,493.93,21,558
AMERICAN AIR00123070121 FORT WOR TH TX        08/21,Travel,220,21,558
AMERICAN AIR00123070121 FORT WOR TH TX        08/21,Travel,220,21,558
AMERICAN EAGLE OUTFITT LEHI UT 876974  11/19,Clothing,63.93,22,525
AMERICAN EAGLE PARK CITY UT 206644  06/24,Clothing,38.6,22,525
AMERICAN EAGLE PARK CITY UT 273811  03/18,Clothing,42.51,22,525
AMZ*EyeBuyDirect Inc amzn.com/pm ts WA        03/08,Clothing,52.86,23,525
AMZN Digital*MB0VR30Y 888-802-30 80 WA        01/13,Supplies,27.01,24,553
AMZN Digital*MB2MP00C 888-802-30 80 WA        01/13,Supplies,23.74,24,553
AMZN Mktp US Amzn.com/bill WA 08/09,Supplies,11.99,24,553
AMZN Mktp US Amzn.com/bill WA 08/15,Supplies,28.99,24,553
AMZN Mktp US Amzn.com/bill WA 08/15,Supplies,19.98,24,553
AMZN Mktp US Amzn.com/bill WA 08/27,Supplies,38.97,24,553
AMZN Mktp US Amzn.com/bill WA 08/27,Supplies,22.68,24,553
AMZN Mktp US Amzn.com/bill WA 09/04,Supplies,13.12,24,553
AMZN Mktp US Amzn.com/bill WA 09/05,Supplies,29,24,553
AMZN Mktp US Amzn.com/bill WA 09/05,Supplies,13.71,24,553
AMZN Mktp US*2N8Y31X Amzn.com/bi ll WA        01/29,Supplies,89.92,24,553
AMZN Mktp US*600WP33 Amzn.com/bi ll WA        09/25,Supplies,99.24,24,553
AMZN Mktp US*7A30932 Amzn.com/bi ll WA        11/25,Personal,43.41,24,541
AMZN Mktp US*8M9O857 Amzn.com/bi ll WA        02/01,Personal,27.97,24,541
AMZN Mktp US*964065D Amzn.com/bi ll WA        01/15,Personal,10.18,24,541
AMZN Mktp US*B23698R Amzn.com/bi ll WA        01/08,Personal,19.72,24,541
AMZN Mktp US*DV00E0X Amzn.com/bi ll WA        02/11,Supplies,78.77,24,553
AMZN Mktp US*F73IG1M Amzn.com/bi ll WA        09/30,Supplies,9.98,24,553
AMZN Mktp US*JY48N70 Amzn.com/bi ll WA        12/13,Supplies,26.8,24,553
AMZN Mktp US*M04YL26 Amzn.com/bi ll WA        12/05,Supplies,11.49,24,553
AMZN Mktp US*M09DN1S Amzn.com/bi ll WA        12/06,Supplies,15.56,24,553
AMZN Mktp US*M207X4G Amzn.com/bi ll WA        12/23,Supplies,59.93,24,553
AMZN Mktp US*M210R6D Amzn.com/bi ll WA        12/23,Supplies,48.96,24,553
AMZN Mktp US*M67YR3P Amzn.com/bi ll WA        06/11,Supplies,9.4,24,553
AMZN Mktp US*M85RC1G Amzn.com/bi ll WA        11/01,Supplies,35.68,24,553
AMZN Mktp US*M86AC8V Amzn.com/bi ll WA        11/03,Supplies,18.04,24,553
AMZN Mktp US*MA3K86J Amzn.com/bi ll WA        07/24,Supplies,32.17,24,553
AMZN Mktp US*MN7U23V Amzn.com/bi ll WA        05/15,Supplies,9.98,24,553
AMZN Mktp US*MT13J5G Amzn.com/bi ll WA        09/26,Supplies,98.67,24,553
AMZN Mktp US*U76IO2S Amzn.com/bi ll WA        02/20,Personal,23.54,24,541
AMZN Mktp US*US41F4O Amzn.com/bi ll WA        11/25,Supplies,107.54,24,553
APL* ITUNES.COM/BILL 866-712-775 3 CA         01/03,Meals and Entertainment,0.99,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         01/04,Meals and Entertainment,0.99,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         01/11,Meals and Entertainment,13.6,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         01/14,Dues & Subscriptions,5.33,26,529
APL* ITUNES.COM/BILL 866-712-775 3 CA         01/15,Dues & Subscriptions,10.67,26,529
APL* ITUNES.COM/BILL 866-712-775 3 CA         02/03,Dues & Subscriptions,0.99,26,529
APL* ITUNES.COM/BILL 866-712-775 3 CA         02/03,Dues & Subscriptions,4.25,26,529
APL* ITUNES.COM/BILL 866-712-775 3 CA         02/04,Meals and Entertainment,0.99,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         02/07,Dues & Subscriptions,3.18,26,529
APL* ITUNES.COM/BILL 866-712-775 3 CA         02/13,Meals and Entertainment,5.33,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         02/14,Dues & Subscriptions,5.33,26,529
APL* ITUNES.COM/BILL 866-712-775 3 CA         02/26,Meals and Entertainment,5.31,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         03/03,Dues & Subscriptions,0.99,26,529
APL* ITUNES.COM/BILL 866-712-775 3 CA         03/04,Meals and Entertainment,0.99,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         03/14,Dues & Subscriptions,5.33,26,529
APL* ITUNES.COM/BILL 866-712-775 3 CA         03/15,Meals and Entertainment,9.6,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         04/03,Dues & Subscriptions,0.99,26,529
APL* ITUNES.COM/BILL 866-712-775 3 CA         04/04,Meals and Entertainment,0.99,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         04/13,Meals and Entertainment,5.33,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         04/14,Dues & Subscriptions,5.33,26,529
APL* ITUNES.COM/BILL 866-712-775 3 CA         04/28,Meals and Entertainment,10.67,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         05/03,Dues & Subscriptions,0.99,26,529
APL* ITUNES.COM/BILL 866-712-775 3 CA         05/04,Meals and Entertainment,0.99,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         05/14,Dues & Subscriptions,5.33,26,529
APL* ITUNES.COM/BILL 866-712-775 3 CA         05/14,Meals and Entertainment,5.33,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         06/03,Dues & Subscriptions,0.99,26,529
APL* ITUNES.COM/BILL 866-712-775 3 CA         06/03,Meals and Entertainment,12.81,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         06/03,Meals and Entertainment,0.99,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         06/13,Meals and Entertainment,5.33,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         06/14,Dues & Subscriptions,5.33,26,529
APL* ITUNES.COM/BILL 866-712-775 3 CA         07/03,Meals and Entertainment,0.99,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         07/14,Meals and Entertainment,5.33,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         08/03,Meals and Entertainment,0.99,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         08/14,Meals and Entertainment,5.33,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         09/03,Meals and Entertainment,0.99,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         09/14,Meals and Entertainment,8.53,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         10/03,Meals and Entertainment,0.99,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         10/14,Meals and Entertainment,5.33,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         11/03,Meals and Entertainment,0.99,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         11/14,Meals and Entertainment,5.33,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         11/19,Meals and Entertainment,10.67,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         12/03,Meals and Entertainment,0.99,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         12/14,Meals and Entertainment,5.33,26,539
APL* ITUNES.COM/BILL 866-712-775 3 CA         12/20,Meals and Entertainment,10.67,26,539
APL*ITUNES.COM/BILL 800-275-2273 CA          01/03,Dues & Subscriptions,0.99,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          01/14,Dues & Subscriptions,5.33,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          01/23,Dues & Subscriptions,10.67,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          02/03,Dues & Subscriptions,0.99,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          07/03,Dues & Subscriptions,0.99,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          07/14,Dues & Subscriptions,5.33,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          08/03,Dues & Subscriptions,0.99,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          08/14,Dues & Subscriptions,5.33,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          09/03,Dues & Subscriptions,0.99,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          09/14,Dues & Subscriptions,5.33,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          09/23,Dues & Subscriptions,10.67,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          10/03,Dues & Subscriptions,0.99,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          10/14,Dues & Subscriptions,5.33,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          10/19,Dues & Subscriptions,10.67,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          11/03,Dues & Subscriptions,0.99,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          11/14,Dues & Subscriptions,5.33,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          11/23,Dues & Subscriptions,10.67,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          12/03,Dues & Subscriptions,0.99,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          12/14,Dues & Subscriptions,5.33,26,529
APL*ITUNES.COM/BILL 800-275-2273 CA          12/23,Dues & Subscriptions,10.67,26,529
APL*ITUNES.COM/BILL 866-712-7753 CA          02/14,Dues & Subscriptions,5.33,26,529
APL*ITUNES.COM/BILL 866-712-7753 CA          02/19,Dues & Subscriptions,10.67,26,529
APL*ITUNES.COM/BILL 866-712-7753 CA          03/03,Dues & Subscriptions,0.99,26,529
APL*ITUNES.COM/BILL 866-712-7753 CA          04/03,Dues & Subscriptions,0.99,26,529
APL*ITUNES.COM/BILL 866-712-7753 CA          05/03,Dues & Subscriptions,0.99,26,529
APL*ITUNES.COM/BILL 866-712-7753 CA          06/03,Dues & Subscriptions,0.99,26,529
APL*ITUNES.COM/BILL 866-712-7753 CA          07/03,Dues & Subscriptions,0.99,26,529
APL*ITUNES.COM/BILL 866-712-7753 CA          08/03,Dues & Subscriptions,0.99,26,529
APL*ITUNES.COM/BILL 866-712-7753 CA          09/03,Dues & Subscriptions,0.99,26,529
APL*ITUNES.COM/BILL 866-712-7753 CA          10/03,Dues & Subscriptions,0.99,26,529
APPLE.COM/BILL 408-974-1010 CA 12/03,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 01/03,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 01/03,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 02/03,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 02/03,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 03/03,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 03/03,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 04/03,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 05/03,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 06/03,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 07/04,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 08/04,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 09/03,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 10/03,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 11/03,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 11/03,Dues & Subscriptions,0.99,27,529
APPLE.COM/BILL 866-712-7753 CA 12/03,Dues & Subscriptions,0.99,27,529
ARCTIC CIRCLE 515 OREM OREM UT 01/09,Meals and Entertainment,4.82,28,539
ARCTIC CIRCLE 515 OREM OREM UT 03/03,Meals and Entertainment,4.2,28,539
ARCTIC CIRCLE 515 OREM OREM UT 09/22,Gas,3.98,28,516
ARCTIC CIRCLE 515 OREM OREM UT 12/14,Gas,10.75,28,516
"AROUND EATERY, LLC LEHI UT 06/24",Meals and Entertainment,11.74,29,539
ASOS US SALES LLC WWW.ASOS.COM D E            06/09,Clothing,65.9,30,525
ASR LODGING - PARK CITY PARK CIT Y UT         05/14,Meals and Entertainment,27.94,31,539
ASR LODGING - PARK CITY PARK CIT Y UT         06/21,Meals and Entertainment,111.77,31,539
AT HOME STORE 128 PROVO UT 804089  11/03,Meals and Entertainment,0.52,32,539
ATHLETA ONLINE 877-328-4538 OH 12/06,Clothing,83.77,33,525
AUNTIE ANNE PRETZELS UT LEHI UT 11/19,Meals and Entertainment,8.54,34,539
AUTO AIR & VACUUM SERVI PLAINVIE W NY         04/23,Auto,1.25,35,515
"AUTOMATIC WITHDRAWAL, CH JESUSCHRIST DONATION WEB (S) AUTOMATIC WITHDRAWAL, CH JESUSCH",Charitable Contributions,1300,64,567
"AUTOMATIC WITHDRAWAL, CH JESUSCHRIST DONATION WEB (S) AUTOMATIC WITHDRAWAL, CH JESUSCH",Charitable Contributions,840,64,567
"AUTOMATIC WITHDRAWAL, CH JESUSCHRIST DONATION WEB (S) AUTOMATIC WITHDRAWAL, CH JESUSCH",Charitable Contributions,810,64,567
"AUTOMATIC WITHDRAWAL, CH JESUSCHRIST DONATION WEB(S ) AUTOMATIC WITHDRAWAL, CH JESUSCH",tithing,255,64,556
"AUTOMATIC WITHDRAWAL, CH JESUSCHRIST DONATION WEB(S ) AUTOMATIC WITHDRAWAL, CH JESUSCH",Charitable Contributions,420,64,567
"AUTOMATIC WITHDRAWAL, CH JESUSCHRIST DONATION WEB(S ) AUTOMATIC WITHDRAWAL, CH JESUSCH",Charitable Contributions,420,64,567
"AUTOMATIC WITHDRAWAL, CITY OF OREM UTIL. BILL PPD AUTOMATIC WITHDRAWAL, CITY OF OR",Utilities,57.34,36,560
"AUTOMATIC WITHDRAWAL, CITY OF OREM UTIL. BILL PPD AUTOMATIC WITHDRAWAL, CITY OF OR",Utilities,57.34,36,560
"AUTOMATIC WITHDRAWAL, CITY OF OREM UTIL. BILL PPD AUTOMATIC WITHDRAWAL, CITY OF OR",Utilities,72.92,36,560
"AUTOMATIC WITHDRAWAL, CITY OF OREM UTIL. BILL PPD AUTOMATIC WITHDRAWAL, CITY OF OR",Utilities,59.41,36,560
"AUTOMATIC WITHDRAWAL, CITY OF OREM UTIL. BILL PPD AUTOMATIC WITHDRAWAL, CITY OF OR",Utilities,52.64,36,560
"AUTOMATIC WITHDRAWAL, CITY OF OREM UTIL. BILL PPD AUTOMATIC WITHDRAWAL, CITY OF OR",Utilities,52.64,36,560
"AUTOMATIC WITHDRAWAL, CITY OF OREM UTIL. BILL PPD AUTOMATIC WITHDRAWAL, CITY OF OR",Utilities,50.88,36,560
"AUTOMATIC WITHDRAWAL, CITY OF OREM UTIL. BILL PPD AUTOMATIC WITHDRAWAL, CITY OF OR",Utilities,50.88,36,560
"AUTOMATIC WITHDRAWAL, SPRINT8006396111ACHBILLPAY PPD AUTOMATIC WITHDRAWAL, SPRINT8006",phone,224.64,338,543
"AUTOMATIC WITHDRAWAL, SPRINT8006396111ACHBILLPAY PPD AUTOMATIC WITHDRAWAL, SPRINT8006",phone,224.54,338,543
"AUTOMATIC WITHDRAWAL, SPRINT8006396111ACHBILLPAY PPD AUTOMATIC WITHDRAWAL, SPRINT8006",phone,224.54,338,543
"AUTOMATIC WITHDRAWAL, VENMO PAYMENT WEB (S) AUTOMATIC WITHDRAWAL, VENMO PAYM",Personal,140,415,541
"AUTOMATIC WITHDRAWAL, VENMO PAYMENT WEB (S) AUTOMATIC WITHDRAWAL, VENMO PAYM",Personal,7,415,541
"AUTOMATIC WITHDRAWAL, VENMO PAYMENT WEB (S) AUTOMATIC WITHDRAWAL, VENMO PAYM",Personal,50,415,541
"AUTOMATIC WITHDRAWAL, VENMO PAYMENT WEB (S) AUTOMATIC WITHDRAWAL, VENMO PAYM",Personal,150,415,541
"AUTOMATIC WITHDRAWAL, VENMO PAYMENT WEB (S) AUTOMATIC WITHDRAWAL, VENMO PAYM",Personal,25,415,541
"AUTOMATIC WITHDRAWAL, VENMO PAYMENT WEB (S) AUTOMATIC WITHDRAWAL, VENMO PAYM",Personal,5,415,541
"AUTOMATIC WITHDRAWAL, VENMO PAYMENT WEB (S) AUTOMATIC WITHDRAWAL, VENMO PAYM",Personal,9,415,541
"AUTOMATIC WITHDRAWAL, VENMO PAYMENT WEB (S) AUTOMATIC WITHDRAWAL, VENMO PAYM",Personal,4,415,541
"AUTOMATIC WITHDRAWAL, VENMO PAYMENT WEB (S) AUTOMATIC WITHDRAWAL, VENMO PAYM",Personal,18,415,541
"AUTOMATIC WITHDRAWAL, VENMO PAYMENT WEB(S ) AUTOMATIC WITHDRAWAL, VENMO PAYM",Personal,200,415,541
"AUTOMATIC WITHDRAWAL, VENMO PAYMENT WEB(S ) AUTOMATIC WITHDRAWAL, VENMO PAYM",Personal,120,415,541
"AUTOMATIC WITHDRAWAL, VENMO PAYMENT WEB(S ) AUTOMATIC WITHDRAWAL, VENMO PAYM",Personal,10,415,541
"AUTOMATIC WITHDRAWAL, VENMO PAYMENT WEB(S ) AUTOMATIC WITHDRAWAL, VENMO PAYM",Personal,170,415,541
"AUTOMATIC WITHDRAWAL, VENMO PAYMENT WEB(S ) AUTOMATIC WITHDRAWAL, VENMO PAYM",Personal,300,415,541
AUX*MYPERFRESUME 8552 855-213-03 48           07/11,Personal,1.95,37,541
AUX*MYPERFRESUME 8552 855-213-03 48           07/11,Personal,1,37,541
AUX*MYPERFRESUME 8552 855-213-03 48           07/26,Personal,24.95,37,541
AUX*MYPERFRESUME 8552 855-213-03 48           08/23,Personal,24.95,37,541
AUX*MYPERFRESUME 8552 855-213-03 48           09/20,Personal,24.95,37,541
AUX*MYPERFRESUME 8552 855-213-03 48           10/18,Personal,24.95,37,541
AUX*MYPERFRESUME 8552 855-213-03 48           11/15,Personal,24.95,37,541
